# Documents Missing source_url (74 total, excluding case-law)
# Generated 2026-07-01 from s3://wis-raw-bucket-c8e69250/raw/
#
# Fill in the `source_url` column. Leave blank if no public URL exists.
# Statutes: https://docs.legis.wisconsin.gov/statutes/statutes/{chapter}
# Admin rules: https://docs.legis.wisconsin.gov/code/admin_code/tax/{number}
# Constitution: https://docs.legis.wisconsin.gov/statutes/constitution
# WPAM: https://www.revenue.wi.gov/Pages/WPAM/wpam-{year}.aspx (or direct PDF)
# Gov pubs: https://www.revenue.wi.gov/DOR%20Publications/{filename}.pdf

## Statutes (25) — DONE: https://docs.legis.wisconsin.gov/statutes/statutes/{chapter}.pdf

doc_id                      | s3_key                                                          | source_url
iaao-data-quality-standard                          | raw/iaao-data-quality-standard/iaao-data-quality-standard.pdf                                                    | https://www.iaao.org/wp-content/uploads/Standard_on_Data_Quality.pdf
iaao-property-tax-policy                            | raw/iaao-property-tax-policy/iaao-property-tax-policy.pdf                                                        | https://www.iaao.org/wp-content/uploads/Standard_on_Property_Tax_Policy.pdf
iaao-standard-digital-cadastral-maps-2015           | raw/iaao-standard-digital-cadastral-maps-2015/iaao-standard-digital-cadastral-maps-2015.pdf                      | https://www.iaao.org/wp-content/uploads/Standard_Digital_Cadastral_Maps_2015.pdf
iaao-standard-on-automated-valuation-models         | raw/iaao-standard-on-automated-valuation-models/iaao-standard-on-automated-valuation-models.pdf                  | https://www.iaao.org/wp-content/uploads/Standard_on_Automated_Valuation_Models.pdf
iaao-standard-on-contracting-for-assessment-services | raw/iaao-standard-on-contracting-for-assessment-services/iaao-standard-on-contracting-for-assessment-services.pdf | https://www.iaao.org/wp-content/uploads/Standard_on_Contracting_for_Assessment_Services.pdf
iaao-standard-on-mass-appraisal                     | raw/iaao-standard-on-mass-appraisal/iaao-standard-on-mass-appraisal.pdf                                          | https://www.iaao.org/wp-content/uploads/Standard_on_Mass_Appraisal.pdf
iaao-standard-on-oversight-agency-responsibilities  | raw/iaao-standard-on-oversight-agency-responsibilities/iaao-standard-on-oversight-agency-responsibilities.pdf    | https://www.iaao.org/wp-content/uploads/Standard_on_Oversight_Agency_Responibilities.pdf
iaao-standard-valuation-personal-property           | raw/iaao-standard-valuation-personal-property/iaao-standard-valuation-personal-property.pdf                      | https://www.iaao.org/wp-content/uploads/StandardValuationPersonalProperty.pdf
iaao-verification-adjustment-of-sales               | raw/iaao-verification-adjustment-of-sales/iaao-verification-adjustment-of-sales.pdf                              | https://www.iaao.org/wp-content/uploads/Standard_on_Verification_Adjustment_of_Sales.pdf

